Hanja,Pronunciation,Definition,Alternate Pronunciation,Examples,Radicals,Reading Level,Writing Level
吹,취,불,,"鼓吹 - 고취 (inspiration)
吹管 - 취관 (blowpipe)
","口, 欠",3II,2
就,취,나아갈/이룰,,"就業 - 취업 (employment, finding a job)
就職 - 취직 (seek employment, get a job)
就寢 - 취침 (go to bed[sleep])
成就 - 상취 (achievement)
","丶, 亠, 口, 小, 尢, 尤",4,3
臭,취,냄새,,"惡臭 - 악취 (stench)
口臭 - 구취 (halitosis)
無臭 - 무취 (odorless)
","大, 自",3,2
醉,취,취할,,"醉- - 취하다 (to be drunk)
宿醉 - 숙취 (hangover)
心醉 - 심취 (infatuation, indulge, fascination)
陶醉 - 도취 (intoxication)
醉狂 - 취광 (vagary)
","亠, 人, 十, 酉",3II,2
趣,취,뜻,,"趣向 - 취향 (taste, liking, preference)
趣味 - 취미 (taste)
情趣 - 정취 (sentiment)
","又, 土, 耳, 走",4,3
側,측,곁,,"側面 - 측면 (flank)
側線 - 측선 (siding)
","化, 刈, 貝",3II,2
測,측,잴,,"測定 - 측정 (measurement)
豫測- - 예측하다 (to predict, forecast)
推測 - 추측 (conjecture)
推測 - 추측하다 (speculate)
測量 - 측량 (measurement)
臆測 - 억측하다 (conjecture)
","刈, 汁, 貝",4II,3II
層,층,층,,"層 - 층 (floor; grade, class)
該當層 - 해당층 (corresponding floor, story, which floor or story something is on (in a multiple floor building))
中間層 - 중간층 (a middle floor (in a multiple floor building))
複層 - 복층 (multiple-story, multiple-floors)
階層 - 계층 (a class, social stratum)
-層 - 한층 (more, still more)
","八, 尸, 日, 田",4,3
治,치,다스릴,,"政治 - 정치 (government)
政治的 - 정치적 (political)
治療 - 치료 (medical treatment, medical care)
政治權 - 정치권 (political rights)
治療- - 치료하다 (to cure, heal, treat a patient)
三頭政治 - 삼두정치 (triumvirate)
","厶, 口, 汁",4II,3II
致,치,이를,,"一致 - 일치 (conformity)
一致 - 일치하다 (jibe)
不一致 - 불일치 (discrepancy)
致命的 - 치명적인 (lethal)
景致 - 경치 (view, scene, scenery)
致死 - 치사적인 (lethal)
","厶, 土, 攵, 至",5,4
